Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble,Price_Change,Price_Range,Returns,SMA_5,SMA_20,Volatility,Close_lag_1,Volume_lag_1
2002-05-09,RELIANCE,EQ,289.95,292.5,294.75,289.25,291.9,291.45,291.04,1212407,35285301605000.0,553222.0,0.4563,-1.0500000000000114,5.5,0.005173305742369294,290.41999999999996,288.955,5.449744078973955,289.95,1764537.0
2002-05-10,RELIANCE,EQ,291.45,291.6,292.3,285.1,289.95,288.05,288.19,1315200,37902571080000.0,518905.0,0.3945,-3.5500000000000114,7.199999999999989,-0.011665808886601403,290.46000000000004,288.53000000000003,5.149435329288274,291.45,1212407.0
2002-05-13,RELIANCE,EQ,288.05,290.0,290.0,285.3,286.55,286.0,287.37,852981,24512512030000.0,452882.0,0.5309,-4.0,4.699999999999989,-0.007116819996528467,289.71999999999997,287.9175,4.635312826551834,288.05,1315200.0
2002-05-14,RELIANCE,EQ,286.0,287.8,288.9,283.0,283.7,283.7,284.49,901414,25644081760000.0,420702.0,0.4667,-4.100000000000023,5.899999999999977,-0.008041958041958064,287.83,287.38,4.457825762219937,286.0,852981.0
2002-05-15,RELIANCE,EQ,283.7,284.7,287.0,280.2,283.5,282.9,283.04,1085180,30714814625000.0,422197.0,0.3891,-1.8000000000000114,6.800000000000011,-0.0028198801550934904,286.41999999999996,287.07250000000005,4.547772010903127,283.7,901414.0
2002-05-16,RELIANCE,EQ,282.9,284.0,284.3,275.15,278.0,277.9,278.95,1334319,37220821120000.0,573431.0,0.4297999999999999,-6.100000000000023,9.150000000000034,-0.017674089784376124,283.71,286.46500000000003,4.924965936296431,282.9,1085180.0
2002-05-17,RELIANCE,EQ,277.9,279.0,287.45,275.6,282.0,280.8,281.46,2884504,81187359705000.0,660273.0,0.2289,1.8000000000000114,11.849999999999966,0.010435408420295111,282.26000000000005,285.8875,4.875499299666499,277.9,1334319.0
2002-05-20,RELIANCE,EQ,280.8,289.7,289.8,272.5,273.45,276.2,279.65,2433608,68056741395000.01,703581.0,0.2891,-13.5,17.30000000000001,-0.01638176638176647,280.3,285.4625,5.333431673983316,280.8,2884504.0
2002-05-21,RELIANCE,EQ,276.2,272.6,273.35,248.6,263.05,262.25,260.74,5668316,147797693100000.0,1687932.0,0.2978,-10.350000000000023,24.75000000000003,-0.050506879073135336,276.01,284.2125,7.4156285001763145,276.2,2433608.0
2002-05-22,RELIANCE,EQ,262.25,261.45,262.5,255.0,258.6,258.75,258.48,2119125,54774201460000.0,527671.0,0.249,-2.6999999999999886,7.5,-0.013346043851286904,271.17999999999995,282.59000000000003,9.152805149529764,262.25,5668316.0
2002-05-23,RELIANCE,EQ,258.75,258.0,259.8,250.7,253.2,254.05,254.24,2037466,51800449875000.0,517693.0,0.2541,-3.9499999999999886,9.100000000000023,-0.018164251207729465,266.41,280.81,10.985691651080808,258.75,2119125.0
2002-05-24,RELIANCE,EQ,254.05,260.3,274.0,260.3,273.7,270.6,266.64,3191087,85086563325000.0,871842.0,0.2732,10.300000000000011,13.699999999999989,0.06514465656366863,264.37,279.98999999999995,11.110694231945377,254.05,2037466.0
2002-05-27,RELIANCE,EQ,270.6,274.7,274.7,265.1,269.3,269.35,269.43,1792360,48290959735000.0,393840.0,0.2197,-5.349999999999966,9.599999999999966,-0.004619364375461954,263.0,279.03249999999997,11.163748604063574,270.6,3191087.0
2002-05-28,RELIANCE,EQ,269.35,267.8,267.8,258.1,260.6,260.0,261.8,2367956,61992788229999.99,1082679.0,0.4572,-7.800000000000011,9.699999999999989,-0.03471319844069065,262.55,278.26750000000004,11.930845417170381,269.35,1792360.0
2002-05-29,RELIANCE,EQ,260.0,275.0,275.0,257.25,264.85,265.3,263.16,1763694,46413112970000.0,1082679.0,0.4572,-9.699999999999989,17.75,0.020384615384615445,263.86,277.615,12.277901629392826,260.0,2367956.0
2002-05-30,RELIANCE,EQ,265.3,260.35,269.65,260.35,260.8,261.45,264.91,2171241,57518693865000.0,1082679.0,0.4572,1.099999999999966,9.299999999999955,-0.014511873350923521,265.34,276.46999999999997,12.678031143841096,265.3,1763694.0
2002-05-31,RELIANCE,EQ,261.45,262.9,266.0,255.7,265.45,263.5,260.19,2155713,56089926340000.0,1082679.0,0.4572,0.6000000000000227,10.300000000000011,0.007840887358959714,263.91999999999996,275.2525,12.696844562413897,261.45,2171241.0
2002-06-03,RELIANCE,EQ,263.5,267.55,271.95,262.2,269.5,270.35,268.18,2655047,71204358145000.0,554715.0,0.2089,2.8000000000000114,9.75,0.025996204933586453,264.12,274.285,12.267995375215536,263.5,2155713.0
